timestamp,steering,speed,throttle
1745251094.720268,-0.75,1.45,0.85
1745251098.998448,0.59,9.19,0.08
1745251102.0289552,0.26,9.0,0.1
1745251105.3414176,0.54,8.92,0.11
1745251108.0567684,-0.17,9.17,0.08
1745251110.975182,0.03,9.21,0.08
1745251114.0073028,-0.08,9.2,0.08
1745251116.8614488,-0.01,9.18,0.08
1745251119.9233422,-0.02,9.16,0.08
1745251122.9715428,0.01,9.13,0.09
1745251125.8644965,-0.05,9.23,0.08
1745251128.8052998,-0.11,9.21,0.08
1745251131.7777197,-0.08,9.21,0.08
1745251134.951984,0.01,9.21,0.08
1745251137.8504305,-0.01,9.2,0.08
1745251140.9782555,-0.08,9.09,0.09
1745251144.0576186,-0.07,9.24,0.08
1745251147.1725469,-0.05,9.22,0.08
1745251149.9747026,0.06,9.15,0.08
1745251152.870273,-0.51,8.98,0.1
1745251155.8651958,0.09,9.14,0.09
1745251159.2489758,-0.6,8.76,0.13
1745251162.2187338,-0.22,0.0,1.0
1745251165.3806958,-0.21,0.0,1.0
1745251168.470759,-0.21,0.0,1.0
1745251171.5445738,-0.21,0.0,1.0
1745251174.7492106,-0.2,0.0,1.0
1745251177.8272781,-0.21,0.0,1.0
1745251181.3504143,-0.22,0.0,1.0
1745251184.618219,-0.21,0.0,1.0
1745251188.1733088,-0.2,0.0,1.0
1745251191.3757596,-0.2,0.0,1.0
1745251194.3561714,-0.21,0.0,1.0
1745251197.6883109,-0.21,0.0,1.0
1745251200.8467069,-0.2,0.0,1.0
1745251204.2671998,-0.21,0.0,1.0
1745251207.665601,-0.21,0.0,1.0
1745251211.0775297,-0.2,0.0,1.0
1745251214.8359845,-0.22,0.0,1.0
1745251217.9571815,-0.21,0.0,1.0
1745251220.5284052,-0.21,0.0,1.0
1745251386.2799191,-0.21,0.0,1.0
1745251387.766127,-0.21,0.0,1.0
1745251389.1904075,-0.21,0.0,1.0
1745251390.6497428,-0.21,0.0,1.0
1745251392.199986,-0.21,0.0,1.0
1745251393.6244488,-0.21,0.0,1.0
1745251395.5474575,-0.21,0.0,1.0
1745251397.270829,-0.75,1.92,0.81
1745251400.8446922,0.11,8.37,0.16
1745251403.2911594,-0.18,5.57,0.44
1745251405.5132444,-0.24,0.0,1.0
1745251407.7802632,-0.22,0.01,1.0
1745251410.0435941,-0.23,0.01,1.0
1745251411.5136595,-0.23,0.01,1.0
1745251413.1654177,-0.23,0.01,1.0
1745251414.5568058,-0.23,0.01,1.0
1745424720.7840872,-0.23,0.01,1.0
1745424722.379054,-0.23,0.01,1.0
1745424724.042707,-0.23,0.01,1.0
1745424725.6638775,-0.23,0.01,1.0
1745424727.2736297,-0.23,0.01,1.0
1745424728.7541513,-0.23,0.01,1.0
1745424730.500983,-0.23,0.01,1.0
1745424732.045505,-0.23,0.01,1.0
1745424733.4726963,-0.23,0.01,1.0
1745424734.9557214,-0.23,0.01,1.0
1745424736.4253366,-0.23,0.01,1.0
1745424737.9230244,-0.23,0.01,1.0
1745424739.428993,-0.23,0.01,1.0
1745424740.9016023,-0.23,0.01,1.0
1745424742.3632886,-0.23,0.01,1.0
1745424743.8563635,-0.23,0.01,1.0
1745424745.3105206,-0.23,0.01,1.0
1745424746.7482898,-0.23,0.01,1.0
1745424748.2762446,-0.23,0.01,1.0
1745424749.7416048,-0.23,0.01,1.0
