timestamp,gradcam_latency
1754587329.2905293,0.013600
1754587329.332447,0.015480
1754587329.374531,0.017270
1754587329.4448063,0.022090
1754587329.4857936,0.010519
1754587329.5259461,0.009513
1754587329.5720115,0.013212
1754587329.6088562,0.010148
1754587329.653692,0.016295
1754587329.7043772,0.013650
1754587329.752697,0.017359
1754587329.791798,0.013032
1754587329.8323271,0.011843
1754587330.0494685,0.054412
1754587330.2555935,0.134380
1754587330.547392,0.075341
1754587330.6729097,0.054778
1754587330.729078,0.019549
1754587330.7906182,0.016987
1754587330.841767,0.018055
1754587330.9111674,0.020163
1754587330.9634075,0.018620
1754587331.0151703,0.022270
1754587331.0707626,0.023070
1754587331.145244,0.028996
1754587331.2232013,0.031262
1754587331.2985508,0.029532
1754587331.3629787,0.022315
1754587331.4672315,0.035472
1754587331.5379333,0.026612
1754587331.5857885,0.016824
1754587331.6239603,0.011127
1754587331.6725595,0.017143
1754587331.7129974,0.012657
1754587331.770459,0.020921
1754587331.8170826,0.016810
1754587331.858124,0.012300
1754587332.1747334,0.055093
1754587332.3824606,0.097412
1754587332.4847467,0.029981
1754587332.5216553,0.012898
1754587332.5546067,0.012920
1754587332.5944946,0.015423
1754587332.6361287,0.015263
1754587332.6797323,0.015178
1754587332.7163107,0.014202
1754587332.7533245,0.013745
1754587332.8009799,0.015630
1754587332.8470309,0.018518
1754587332.8989942,0.014004
1754587332.9489832,0.015456
1754587332.993816,0.017249
1754587333.034365,0.013897
1754587333.087108,0.019777
1754587333.1316288,0.019832
1754587333.1968741,0.032048
1754587333.268615,0.032850
1754587333.333252,0.026586
1754587333.4020364,0.031908
1754587333.477653,0.033710
1754587333.5595653,0.039129
1754587333.6369278,0.028315
1754587333.7012906,0.014351
1754587333.7439737,0.016031
1754587333.7873647,0.012525
1754587333.8320522,0.018517
1754587333.8846948,0.025770
1754587333.9258547,0.010602
1754587334.0904145,0.050062
1754587334.258276,0.030483
1754587334.3190815,0.018594
1754587334.3517163,0.012514
1754587334.3980415,0.018666
1754587334.4610894,0.017750
1754587334.5303977,0.024905
1754587334.5715396,0.014814
1754587334.608817,0.014056
1754587334.662981,0.023743
1754587334.7020795,0.014033
1754587334.7377782,0.010557
1754587334.7727013,0.011087
1754587334.8093712,0.011623
1754587334.8525581,0.014734
1754587334.891319,0.012718
1754587334.9281049,0.011735
1754587334.9722862,0.015081
1754587335.0126913,0.015029
1754587335.0497696,0.009544
1754587335.0959034,0.013145
1754587335.1280005,0.011540
1754587335.176584,0.017207
1754587335.254505,0.028387
1754587335.324387,0.019605
1754587335.3825953,0.017366
1754587335.5345058,0.111391
1754587335.6315105,0.055452
1754587335.6926003,0.017561
1754587335.7378345,0.020072
1754587335.7753825,0.011517
1754587335.8157947,0.015302
1754587335.8514118,0.012669
1754587335.886529,0.011539
1754587335.9245396,0.009028
1754587335.9660788,0.010515
1754587336.1631162,0.035847
1754587336.3703163,0.043126
1754587336.465422,0.042701
1754587336.5116303,0.015876
1754587336.5476243,0.013191
1754587336.5836184,0.012524
1754587336.6171527,0.012533
1754587336.6579425,0.013247
1754587336.690706,0.011297
1754587336.7365093,0.010526
1754587336.7734554,0.012936
1754587336.8206546,0.015682
1754587336.8917258,0.022792
1754587336.9529552,0.021272
1754587337.0288565,0.019712
1754587337.0941093,0.017505
1754587337.1295135,0.012180
1754587337.166544,0.014518
1754587337.2050006,0.018062
1754587337.2466288,0.010725
1754587337.2958395,0.018124
1754587337.3370075,0.014171
1754587337.3834581,0.016706
1754587337.4280462,0.013926
1754587337.4789765,0.019225
1754587337.5238059,0.018636
1754587337.5727203,0.015307
1754587337.626577,0.018235
1754587337.6703808,0.013134
1754587337.7003279,0.010011
1754587337.7437668,0.017273
1754587337.7836308,0.014466
1754587337.8257887,0.012022
1754587337.8723857,0.016159
1754587337.9085581,0.013511
1754587337.9489644,0.010216
1754587338.1203227,0.063960
1754587338.3107944,0.139213
1754587338.3958194,0.025472
1754587338.4536252,0.014406
1754587338.4946702,0.014267
1754587338.529498,0.012302
1754587338.5687692,0.014892
1754587338.6043346,0.013543
1754587338.6421568,0.013663
1754587338.682729,0.015022
1754587338.7332227,0.017264
1754587338.7766356,0.012754
1754587338.8273275,0.012671
1754587338.874078,0.016532
1754587338.9238672,0.022367
1754587338.9941585,0.031617
1754587339.0465257,0.018275
1754587339.1037414,0.022214
1754587339.146515,0.012650
1754587339.1858,0.013406
1754587339.2197266,0.012023
1754587339.2586539,0.010513
1754587339.290471,0.015108
1754587339.330314,0.011788
1754587339.369272,0.011518
1754587339.418421,0.021208
1754587339.4617407,0.011174
1754587339.5047946,0.017481
1754587339.542672,0.016767
1754587339.585176,0.010514
1754587339.6335964,0.012880
1754587339.678178,0.014518
1754587339.7205038,0.018919
